"Height","Athlete","Venue","Date"
"2.00 m (6 ft 6 3⁄4 in)","George Horine (USA)","Palo Alto, California","18 May 1912[1]"
"2.022 m (6 ft 7 5⁄8 in)","Edward Beeson (USA)","Berkeley, California","2 May 1914[3]"
"2.038 m (6 ft 8 1⁄4 in)","Harold Osborn (USA)","Urbana, Illinois","27 May 1924[4]"
"2.04 m (6 ft 8 3⁄8 in)","Walter Marty (USA)","Fresno, California","13 May 1933[1]"
"2.06 m (6 ft 9 1⁄8 in)","Walter Marty (USA)","Palo Alto, California","28 April 1934[1]"
"2.07 m (6 ft 9 1⁄2 in)","Cornelius Johnson (USA)","New York","12 July 1936[1]"
"2.07 m (6 ft 9 1⁄2 in)","Dave Albritton (USA)","New York","12 July 1936[1]"
"2.09 m (6 ft 10 1⁄4 in)","Melvin Walker (USA)","Malmö, Sweden","12 August 1937[1]"
"2.11 m (6 ft 11 1⁄8 in)","Lester Steers (USA)","Los Angeles","17 June 1941[1]"
"2.12 m (6 ft 11 1⁄2 in)","Walt Davis (USA)","Dayton, Ohio","27 June 1953[1][5]"
"2.15 m (7 ft 5⁄8 in)","Charles Dumas (USA)","Los Angeles","29 June 1956[1][6]"
"2.16 m (7 ft 1 in)","Yuriy Stepanov (URS)","Leningrad, Soviet Union","13 July 1957[1]"
"2.17 m (7 ft 1 3⁄8 in)","John Thomas (USA)","Philadelphia","30 April 1960[1]"
"2.17 m (7 ft 1 3⁄8 in)","John Thomas (USA)","Cambridge, Massachusetts","21 May 1960[1]"
"2.18 m (7 ft 1 7⁄8 in)","John Thomas (USA)","Bakersfield, California","24 June 1960[1][5]"
"2.22 m (7 ft 3 3⁄8 in)","John Thomas (USA)","Palo Alto, California","1 July 1960[1]"
"2.23 m (7 ft 3 3⁄4 in)","Valeriy Brumel (URS)","Moscow","18 June 1961[1]"
"2.24 m (7 ft 4 1⁄4 in)","Valeriy Brumel (URS)","Moscow","16 July 1961[1]"
"2.25 m (7 ft 4 1⁄2 in)","Valeriy Brumel (URS)","Sofia, Bulgaria","31 August 1961[1]"
"2.26 m (7 ft 5 in)","Valeriy Brumel (URS)","Palo Alto, California","22 July 1962[1]"
"2.27 m (7 ft 5 1⁄4 in)","Valeriy Brumel (URS)","Moscow","29 September 1962[1]"
"2.28 m (7 ft 5 3⁄4 in)","Valeriy Brumel (URS)","Moscow","21 July 1963[1]"
"2.29 m (7 ft 6 1⁄4 in)","Pat Matzdorf (USA)","Berkeley, California","3 July 1971[1]"
"2.30 m (7 ft 6 1⁄2 in)","Dwight Stones (USA)","Munich","11 July 1973[1]"
"2.31 m (7 ft 7 in)","Dwight Stones (USA)","Philadelphia","5 June 1976[1]"
"2.32 m (7 ft 7 1⁄4 in)","Dwight Stones (USA)","Philadelphia","4 August 1976[1]"
"2.33 m (7 ft 7 3⁄4 in)","Vladimir Yashchenko (URS)","Richmond, Virginia","2 June 1977[1]"
"2.34 m (7 ft 8 1⁄4 in)","Vladimir Yashchenko (URS)","Tbilisi, Soviet Union","16 June 1978[1]"
"2.35 m (7 ft 8 1⁄2 in)","Jacek Wszoła (POL)","Eberstadt, West Germany","25 May 1980[1]"
"2.35 m (7 ft 8 1⁄2 in)","Dietmar Mögenburg (FRG)","Rehlingen, West Germany","26 May 1980[1]"
"2.36 m (7 ft 9 in)","Gerd Wessig (GDR)","Moscow","1 August 1980[1]"
"2.37 m (7 ft 9 1⁄4 in)","Zhu Jianhua (CHN)","Beijing","11 June 1983[1]"
"2.38 m (7 ft 9 3⁄4 in)","Zhu Jianhua (CHN)","Shanghai","22 September 1983[1]"
"2.39 m (7 ft 10 in)","Zhu Jianhua (CHN)","Eberstadt, West Germany","10 June 1984[1]"
"2.40 m (7 ft 10 1⁄2 in)","Rudolf Povarnitsyn (URS)","Donetsk, Soviet Union","11 August 1985[1]"
"2.41 m (7 ft 11 in)","Igor Paklin (URS)","Kobe, Japan","4 September 1985[1]"
"2.42 m (7 ft 11 1⁄4 in)","Patrik Sjöberg (SWE)","Stockholm, Sweden","30 June 1987[1]"
"2.43 m (7 ft 11 3⁄4 in)","Javier Sotomayor (CUB)","Salamanca, Spain","8 September 1988[1]"
"2.44 m (8 ft 0 in)","Javier Sotomayor (CUB)","San Juan, Puerto Rico","29 July 1989[1]"
"2.45 m (8 ft 1⁄2 in)","Javier Sotomayor (CUB)","Salamanca, Spain","27 July 1993[1]"
