"height","first","last","country","day","month","year"
1.46,"Nancy","Voorhees","USA",20,"May",1922
1.485,"Elizabeth","Stine","USA",26,"May",1923
1.485,"Sophie","Eliott","GBR",6,"Aug",1923
1.524,"Phyllis","Green","GBR",11,"Jul",1925
1.552,"Phyllis","Green","GBR",2,"Aug",1926
1.58,"Ethel","Catherwood","CAN",6,"Sep",1926
1.58,"Lien","Gisolf","NED",3,"Jul",1928
1.595,"Ethel","Catherwood","CAN",5,"Aug",1928
1.605,"Lien","Gisolf","NED",18,"Aug",1929
1.62,"Lien","Gisolf","NED",12,"Jun",1932
1.65,"Jean","Shiley","USA",7,"Aug",1932
1.65,"Mildred","Didrikson","USA",7,"Aug",1932
1.66,"Dorothy","Odam","GBR",29,"May",1939
1.66,"Esther","van","RSA",29,"Mar",1941
1.66,"Ilsebill","Pfenning","SUI",27,"Jul",1941
1.71,"Fanny","Blankers","NED",30,"May",1943
1.72,"Sheila","Lerwill","GBR",7,"Jul",1951
1.73,"Aleksandra","Chudina","URS",22,"May",1954
1.74,"Thelma","Hopkins","GBR",5,"May",1956
1.75,"Iolanda","Balaș","ROM",14,"Jul",1956
1.76,"Mildred","McDaniel","USA",1,"Dec",1956
1.76,"Iolanda","Balaş","ROM",13,"Oct",1957
1.77,"Zheng","Fengrong","CHN",17,"Nov",1957
1.78,"Iolanda","Balaş","ROM",7,"Jun",1958
1.8,"Iolanda","Balaş","ROM",22,"Jun",1958
1.81,"Iolanda","Balaş","ROM",31,"Jul",1958
1.82,"Iolanda","Balaş","ROM",4,"Oct",1958
1.83,"Iolanda","Balaş","ROM",18,"Oct",1958
1.84,"Iolanda","Balaş","ROM",21,"Sep",1959
1.85,"Iolanda","Balaş","ROM",6,"Jun",1960
1.86,"Iolanda","Balaş","ROM",10,"Jul",1960
1.87,"Iolanda","Balaş","ROM",15,"Apr",1961
1.88,"Iolanda","Balaş","ROM",18,"Jun",1961
1.9,"Iolanda","Balaş","ROM",8,"Jul",1961
1.91,"Iolanda","Balaş","ROM",16,"Jul",1961
1.92,"Ilona","Gusenbauer","AUT",4,"Sep",1971
1.92,"Ulrike","Meyfarth","FRG",4,"Sep",1972
1.94,"Yordanka","Blagoeva","BUL",24,"Sep",1972
1.94,"Rosemarie","Witschas","GDR",24,"Aug",1974
1.95,"Rosemarie","Ackermann","GDR",8,"Sep",1974
1.96,"Rosemarie","Ackermann","GDR",8,"May",1976
1.96,"Rosemarie","Ackermann","GDR",3,"Jul",1977
1.97,"Rosemarie","Ackermann","GDR",14,"Aug",1977
1.97,"Rosemarie","Ackermann","GDR",26,"Aug",1977
2,"Rosemarie","Ackermann","GDR",26,"Aug",1977
2.01,"Sara","Simeoni","ITA",4,"Aug",1978
2.01,"Sara","Simeoni","ITA",31,"Aug",1978
2.02,"Ulrike","Meyfarth","FRG",8,"Sep",1982
2.03,"Ulrike","Meyfarth","FRG",21,"Aug",1983
2.03,"Tamara","Bykova","URS",21,"Aug",1983
2.04,"Tamara","Bykova","URS",25,"Aug",1983
2.05,"Tamara","Bykova","URS",22,"Jun",1984
2.07,"Lyudmila","Andonova","BUL",20,"Jul",1984
2.07,"Stefka","Kostadinova","BUL",25,"May",1986
2.08,"Stefka","Kostadinova","BUL",31,"May",1986
2.09,"Stefka","Kostadinova","BUL",30,"Aug",1987
